Disease,Disease Details,Filter m/f,Country,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Luxembourg,3,77.9,24130.1,5,78.1,24735.6,26222.4,3,77.8,27113.9,2,79.2,29362.5,,79.5,31733.1,1,79.4,36863.9,1,79.5,40294.8,2,80.6,42363,,80.7,40998.6,,80.7,43486,1,81.1,47690.5,2,81.5,48646.4,,81.9,51998,,82.3,56650.9,1,82.4,59356.2,,,63187.3,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Mexico,3468,73.5,1006364.7,3452,73.6,1028960.9,1067155.6,3277,73.8,1131831.9,3284,73.9,1211914.1,2643,74,1322405.6,2738,74.1,1464036.7,2525,74.2,1551468.9,2285,74.1,1640914.6,2511,74,1624853.8,2345,74.1,1730209.2,2519,74.2,1893302.8,2616,74.4,1984966.4,2337,74.6,2039349,2450,74.8,2151633.5,2279,75,2165289.7,,75,2262925.8,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Netherlands,91,78.3,502811.1,87,78.4,528116,548919.2,72,78.7,546816,72,79.2,577038.7,78,79.5,608165.5,70,79.9,663991,76,80.3,711982.1,54,80.5,753930,51,80.8,728830.2,62,81,740806.1,54,81.3,768994,36,81.2,782578.5,34,81.4,817809.8,38,81.8,826588.1,34,81.6,839321.6,36,,870843.8,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,New Zealand,25,78.7,82977.8,11,79,87342.7,92026.9,16,79.3,96505.9,27,79.6,102540.3,30,79.8,106147.2,21,80.1,116197.4,22,80.3,124125.3,16,80.5,127199.9,16,80.7,132087.5,16,80.8,136021.4,17,81,143508.2,15,81.2,145405.7,10,81.4,160669,,81.5,167682.2,,81.7,174401.8,,,182969.5,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Norway,53,78.9,165842.3,50,79,170951.9,172267.6,33,79.6,175887.5,52,80.1,195231.6,44,80.3,220865.8,42,80.6,252193.3,38,80.6,262992.7,34,80.8,294084.8,25,81,267801.1,27,81.2,283556.4,27,81.4,307393.4,28,81.5,328115.5,21,81.8,340128,19,82.2,337287.3,12,82.4,321969.7,,,331022.1,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Poland,1116,74.2,407252.2,1061,74.6,425604,450394.3,940,74.7,468251.2,943,74.9,509752.6,850,75.1,530344.1,834,75.3,577874.4,759,75.4,639715.5,775,75.7,698099.5,827,75.8,735033.7,758,76.5,802284.9,586,76.8,869763.6,649,76.9,907149,640,77.1,940294.9,540,77.7,977186.2,533,77.6,1020154.5,,,1059324.1,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Portugal,260,77.2,194194.9,242,77.4,202958.8,212223.5,345,77.5,217958,349,78.4,225306.7,,78.2,238841.4,,79,259580.3,,79.2,270910.6,258,79.5,281180.8,237,79.7,280018.2,251,80,289290.2,205,80.6,282733.7,211,80.5,278160.8,208,80.8,291753.4,211,81.2,299615.8,206,81.2,307508.4,,,316063.3,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Slovak Republic,54,73.6,61150.7,57,73.8,66696.6,71483.3,64,73.8,75973.6,66,74.2,81652.9,52,74.2,89275.3,47,74.4,101419.2,47,74.5,113710,35,75,127442.9,42,75.3,124333.3,42,75.6,134842.6,35,76.1,139467.3,,76.2,144098,17,76.5,151020.7,20,76.9,157249.6,34,76.7,162209.9,,,169448,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Slovenia,21,76.4,35873.2,26,76.6,37846.7,40499,22,76.4,42174.6,28,77.2,45517.8,12,77.4,47901.9,18,78.3,51733,18,78.3,55689.7,29,79.1,59879.8,35,79.3,56099.2,25,79.8,56936.2,20,80.1,59131.5,14,80.2,59332.4,11,80.4,60834.4,9,81.2,63910.6,21,80.9,65960.1,11,,68350.4,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Spain,520,79.8,872912.1,490,79.9,938063.5,1009397.7,491,79.7,1056990,473,80.4,1124492.9,445,80.3,1209300,475,81.1,1368901.2,396,81.2,1473681.7,409,81.5,1537767.5,349,81.9,1503253.7,394,82.4,1489722.7,392,82.6,1498907.1,288,82.5,1496106.3,320,83.2,1519908.1,291,83.3,1564461.2,279,83,1611564.9,,,1679558.1,,
