Disease,Disease Details,Filter m/f,Country,CountryCode,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Neoplasms,Leukemia,Number of total deaths,Slovenia,SI,136,76.4,35873.2,134,76.6,37846.7,40499,120,76.4,42174.6,138,77.2,45517.8,131,77.4,47901.9,127,78.3,51733,146,78.3,55689.7,153,79.1,59879.8,166,79.3,56099.2,178,79.8,56936.2,168,80.1,59131.5,204,80.2,59332.4,153,80.4,60834.4,199,81.2,63910.6,185,80.9,65960.1,192,,68350.4,,
Neoplasms,Leukemia,Number of total deaths,Spain,ES,2881,79.8,872912.1,2885,79.9,938063.5,1009397.7,2915,79.7,1056990,3055,80.4,1124492.9,3099,80.3,1209300,3009,81.1,1368901.2,3152,81.2,1473681.7,3087,81.5,1537767.5,3047,81.9,1503253.7,3084,82.4,1489722.7,3273,82.6,1498907.1,3306,82.5,1496106.3,3531,83.2,1519908.1,3469,83.3,1564461.2,3389,83,1611564.9,,,1679558.1,,
Neoplasms,Leukemia,Number of total deaths,Sweden,SE,717,79.9,259580,692,79.9,264227.8,272994.5,689,80.3,281923.5,749,80.6,301748.3,693,80.7,306709.2,724,81,339972.6,713,81.1,371081.7,764,81.3,385875.9,694,81.5,369089,712,81.6,390766.2,684,81.9,413450.9,706,81.8,425753.8,748,82,438479.7,761,82.3,449945.5,771,82.3,468629.4,746,,491091.4,,
Neoplasms,Leukemia,Number of total deaths,Switzerland,CH,479,80.4,256298.8,521,80.6,266507.7,274505.1,471,80.6,276031,514,81.2,289199.1,512,81.4,300888.8,544,81.7,336415,493,82,373532.8,509,82.2,400107.8,538,82.3,399834.5,550,82.6,414217.9,551,82.8,442451.3,564,82.8,460544.8,563,82.9,483647.4,591,83.3,501374.1,,83,517646.7,,,532594.5,,
Neoplasms,Leukemia,Number of total deaths,Turkey,TR,,71.5,605613.4,,71.9,592897.6,607794.1,,72.3,634676.8,,72.7,728257,,73.1,807227.2,,73.4,937107.9,,73.7,1032837.5,,73.9,1130486.5,,74.1,1105889.1,2540,74.3,1262796.8,2664,74.6,1443295.2,2731,74.6,1539111.5,2792,78,1690856.1,3010,78,1780288.8,,78,1882755.9,,,1977726.4,,
Neoplasms,Leukemia,Number of total deaths,United Kingdom,GB,,78.2,1533015.1,4228,78.3,1617453.5,1699798.7,4330,78.4,1783357.3,4376,79,1896674.3,4267,79.2,1949434.7,4334,79.5,2089011.4,4311,79.7,2155566.8,4372,79.8,2229260.5,4390,80.4,2142488.1,4472,80.6,2243316.2,4530,81,2306167.3,4631,81,2387347.2,4835,81.1,2502075.5,4760,81.4,2630349.9,,81,2720256,,,2812892.2,,
Neoplasms,Leukemia,Number of total deaths,United States,US,21339,76.9,10284779,21451,77,10621824,10977514,21498,77.1,11510670,21535,77.6,12274928,21395,77.6,13093726,21623,77.8,13855888,21944,78.1,14477635,21827,78.1,14718582,22335,78.5,14418739,22610,78.6,14964372,22573,78.7,15517926,23063,78.8,16155254.8,23185,78.8,16691517,23428,78.9,17393103,23448,78.8,18036648,,,18569100,,
Neoplasms,Leukemia,Number of total deaths,Brazil,BR,4511,70.5,1575642.2,4759,70.8,1638266.2,1714201.3,4816,71.2,1768321,4940,71.5,1921619,5073,71.8,2046960.4,5333,72.1,2193408,5459,72.4,2388517,5721,72.7,2559422.3,5709,73,2575605.3,5790,73.3,2803344.1,5938,73.6,2974955,6187,73.8,3091549.1,6351,74.1,3239945.7,6317,74.4,3340163,6474,74.7,3244433.5,,,3186016.8,,
Neoplasms,Leukemia,Number of total deaths,Colombia,CO,1388,71.3,266073.6,1282,71.5,276703.3,287986,1496,71.8,305237.7,1464,72,330356.9,1424,72.3,357035.3,1443,72.5,392651.5,1449,72.7,430917.8,1608,72.9,454954.4,1562,73.1,465980.3,1618,73.3,490405.4,1678,73.5,533513,1656,73.6,565312.9,1666,73.8,602530.9,1697,74,638915.6,,74.2,664316.6,,,691903,,
Neoplasms,Leukemia,Number of total deaths,Costa Rica,CR,137,77.6,27926.8,177,77.7,29875.6,31527.5,159,77.8,34278.4,177,78,37274.2,167,78.1,40858.5,164,78.2,45991,188,78.3,51609,157,78.5,54588.1,172,78.6,55196.1,167,78.7,57881.8,231,78.9,61633.6,199,79.1,66078,180,79.2,68410.1,224,79.4,72819.8,192,79.6,79312.9,,,,,
Neoplasms,Leukemia,Number of total deaths,Lithuania,LT,267,71.7,29575.1,277,71.8,32880.1,36132.9,286,72.1,41211.3,273,72,44039.4,276,71.3,48263.2,264,71.1,53933.9,249,70.9,61678.7,273,71.8,66344.1,283,72.9,57452.9,280,73.3,62347.6,265,73.7,69205.4,263,74,73672.2,266,74.1,78949.7,265,74.7,82558.8,269,74.5,83989.2,249,,88052.9,,
Neoplasms,Leukemia,Number of total deaths,Russia,RU,8023,65.6,1066173.6,7696,65.3,1145987.8,1244453.4,7777,65.2,1427741.9,7726,65.6,1572272.1,7857,65.7,1809836.7,7738,66.9,2275993.7,7630,67.7,2535993.2,7463,68.1,3070068.1,7274,68.8,2952650.1,7463,69,3123315.8,7205,69.8,3441692.1,7196,70.2,3625384.7,,70.7,3656647.9,,70.9,3721984.7,,71.3,3470238.6,,,3432116.3,,
Neoplasms,Leukemia,Number of total deaths,South Africa,ZA,777,54.6,346205.6,754,53.4,363656.3,382901.8,821,52.5,402054.2,806,51.9,431924.4,843,51.6,469348.6,878,51.6,510786.8,860,52,552490.3,868,52.6,581303.8,872,53.5,576709.6,896,54.4,601497.9,928,55.3,633638.5,974,56.1,659635.6,950,56.7,685219.3,971,57.2,707148.2,1039,57.4,731101.6,,,742390.9,,
